scan_param,scan_value,status,R0,S_star,S_c,S_bar,q0,q_inf,q_max,has_inflection,regime,exit_side,dt,seg_high,seg_low,seg_high_frac,chord_dev
beta,0.14999999999999997,ok,4.209971678127075,707.6079154229484,180.99884233401716,151.50128000000004,0.01526,0.41176470588235303,0.748113614736114,True,存在内部拐点,,5.873304878007787,2.60073198486319,3.2725728931445976,0.4428055479635432,0.04873606226606576
beta,0.15499999999999997,ok,4.350304067397977,708.3469575874325,175.16017000066174,145.7517058064516,0.01526,0.40828402366863903,0.756493306057348,True,存在内部拐点,,5.9025558511400265,2.7013118548677046,3.2012439962723223,0.45765121465914976,0.044385395828073396
beta,0.15999999999999995,ok,4.49063645666888,709.0250353015248,169.68641468814107,140.36148000000003,0.01526,0.40476190476190477,0.7643284909834824,True,存在内部拐点,,5.929701601342151,2.798135746121451,3.1315658552207006,0.4718847480433266,0.040254818572226424
beta,0.16499999999999992,ok,4.6309688459397815,709.6494170396084,164.5444021218338,135.2979345454546,0.01526,0.4011976047904192,0.7716711228744505,True,存在内部拐点,,5.954965495982303,2.891524556871682,3.063440939110621,0.4855652914903598,0.036341481882506334
beta,0.16999999999999993,ok,4.771301235210684,710.2262566068006,159.70486088295632,130.5322447058824,0.01526,0.3975903614457832,0.778566670489979,True,存在内部拐点,,5.978539863065951,2.9817602330595165,2.9967796300064347,0.49874389087545407,0.03264244925589595
beta,0.17499999999999993,ok,4.9116336244815875,710.7607995106035,155.141864857729,126.03888000000005,0.01526,0.39393939393939403,0.7850551126269297,True,存在内部拐点,,6.0005912832098005,3.0690919043420495,2.931499378867751,0.5114649139543377,0.03592924752652712
beta,0.17999999999999994,ok,5.05196601375249,711.2575450034873,150.83236861168095,121.7951466666667,0.01526,0.3902439024390244,0.7911717524684557,True,存在内部拐点,,6.021264819849472,3.1537408490325145,2.8675239708169578,0.5237671724113533,0.03997334439015981
beta,0.18499999999999994,ok,5.1922984030233925,711.7203745477092,146.75581810866257,117.78080432432436,0.01526,0.38650306748466257,0.7969478892378725,True,存在内部拐点,,6.040687431197879,3.235904548047428,2.8047828831504513,0.5356848181442393,0.04402198815884656
beta,0.18999999999999995,ok,5.332630792294294,712.1526545668318,142.89382289527668,113.97774315789476,0.01526,0.3827160493827161,0.8024113759100092,True,存在内部拐点,,6.058970744981891,3.3157600226019426,2.743210722379948,0.5472480660759244,0.048063701066820994
beta,0.19499999999999995,ok,5.472963181565198,712.5573193070993,139.2298787184747,110.36971076923079,0.01526,0.3788819875776398,0.807587085201014,True,存在内部拐点,,6.076213332144163,3.393466603245334,2.6827467288988287,0.558483782209117,0.05208929503893389
beta,0.1999999999999999,ok,5.613295570836098,712.9369381689859,135.74913175051287,106.94208000000003,0.01526,0.375,0.8124973011732004,True,存在内部拐点,,6.092502583089726,3.4691682433465116,2.6233343397432147,0.5694159659407435,0.056091417556357916
beta,0.2049999999999999,ok,5.753627960107001,713.2937708079892,132.43817731757355,103.68165073170738,0.01526,0.37106918238993725,0.8171620500989707,True,存在内部拐点,,6.107916266054564,3.5429954646065096,2.564920801448054,0.5800661486302797,0.06006422658449017
beta,0.2099999999999999,ok,5.893960349377904,713.6298125249962,129.28488738144083,100.57648000000003,0.01526,0.3670886075949368,0.8215993814082134,True,存在内部拐点,,6.122523829305178,3.6150670030507275,2.50745682625445,0.5904537252672462,0.06400311012472747
beta,0.2149999999999999,ok,6.034292738648806,713.9468318890001,126.27826209350036,97.61573581395355,0.01526,0.3630573248407645,0.8258256073705964,True,存在内部拐点,,6.136387495437274,3.6854912094772496,2.4508962859600247,0.6005962322649288,0.06790444209620852
beta,0.21999999999999992,ok,6.17462512791971,714.246402102389,123.40830159137532,94.78957090909093,0.01526,0.35897435897435903,0.829855508475253,True,存在内部拐点,,6.149563185832879,3.7543672472712393,2.39519593856164,0.6105095815456295,0.0717654961051921
beta,0.22499999999999992,ok,6.314957517190612,714.5299272920341,120.66589488934477,92.08901333333338,0.01526,0.3548387096774195,0.8337025101472498,True,存在内部拐点,,6.162101305511561,3.8217861219581377,2.3403151835534235,0.6202082589164547,0.07558402528774863
beta,0.22999999999999993,ok,6.455289906461515,714.7986646600652,118.04272326131553,89.50587130434783,0.01526,0.35064935064935066,0.8373788353960784,True,存在内部拐点,,6.174047412564804,3.8878315702259765,2.286215842338828,0.6297054930796046,0.07935851528271565
beta,0.23499999999999993,ok,6.595622295732417,715.0537432365776,115.53117595788329,87.032650212766,0.01526,0.34640522875817004,0.8408956371617434,True,存在内部拐点,,6.185442791653053,3.952580830937587,2.232861960715467,0.6390134003456305,0.08308778609576514
beta,0.23999999999999988,ok,6.735954685003318,715.2961798280281,113.12427645876075,84.66248000000006,0.01526,0.3421052631578948,0.8442631134605214,True,存在内部拐点,,6.196324947349122,4.016105316537161,2.1802196308119615,0.6481431091271785,0.08677105475420845
beta,0.24499999999999988,ok,6.876287074274221,715.5268926392746,110.81561775552073,82.38905142857148,0.01526,0.337748344370861,0.847490607898667,True,存在内部拐点,,6.20672803019203,4.078471199980204,2.128256830211826,0.6571048675148765,0.09040779900420964
beta,0.2499999999999999,ok,7.016619463545125,715.746712956199,108.59930540041029,80.20656000000002,0.01526,0.3333333333333335,0.8505866976904377,True,存在内部拐点,,6.2166832059929575,4.139739929692414,2.0769432763005438,0.6659081366252755,0.09399787545305499
beta,0.2549999999999999,ok,7.156951852816027,715.9563952039508,106.46990725530421,78.10965647058828,0.01526,0.32885906040268464,0.8535592709654873,True,存在内部拐点,,6.226218977077152,4.199968682948593,2.0262502941285594,0.6745616719250428,0.09754121878704312
beta,0.2599999999999999,ok,7.297284242086929,716.1566256386055,104.42240903885606,76.09340307692311,0.01526,0.32432432432432445,0.856415594863443,True,存在内部拐点,,6.2353614626500695,4.259210766348412,1.9761506963016584,0.6830735943475231,0.1010379204424768
beta,0.2649999999999999,ok,7.437616631357832,716.3480298842883,102.45217490604745,74.15323471698116,0.01526,0.3197278911564627,0.8591623756775353,True,存在内部拐点,,6.24413464426602,4.3175159706684765,1.9266186735975432,0.6914514527058198,0.10448823454631238
beta,0.2699999999999999,ok,7.5779490206287345,716.5311794909685,100.5549124077873,72.28492444444447,0.01526,0.31506849315068497,0.8618058121144293,True,存在内部拐点,,6.25256058139301,4.374930886224828,1.8776296951681826,0.6997022786543134,0.10789265090184388
beta,0.2749999999999999,ok,7.718281409899636,716.706597658375,98.72664127310027,70.48455272727274,0.01526,0.31034482758620696,0.8643516425760411,True,存在内部拐点,,6.260659601262869,4.431499183936803,1.8291604173260667,0.7078326352454785,0.11125152355668591
beta,0.27999999999999986,ok,7.858613799170537,716.874764247276,96.96366553608064,68.74848000000004,0.01526,0.3055555555555557,0.8668051872348178,True,存在内部拐点,,6.2684504665346426,4.487261866502632,1.7811886000320105,0.7158486599613035,0.11456545590614534
beta,0.28499999999999986,ok,7.998946188441442,717.0361201796234,95.26254859685113,67.07332210526319,0.01526,0.30069930069930073,0.8691713855617715,True,存在内部拐点,,6.275950523753896,4.542257493448297,1.7336930303055997,0.7237561029610207,0.11783497661118321
beta,0.28999999999999987,ok,8.139278577712343,717.1910713128445,93.62009086242267,65.4559282758621,0.01526,0.2957746478873241,0.8714548298724603,True,存在内部拐点,,6.283175835138802,4.5965223832694795,1.6866534518693224,0.7315603611732979,0.12106080913433026
beta,0.2949999999999999,ok,8.279610966983247,717.339991860227,92.03330966136465,63.89336135593222,0.01526,0.2907801418439717,0.8736597953769303,True,存在内部拐点,,6.2901412958478335,4.650090795432407,1.6400505004154269,0.7392665087669754,0.12424361310425862
beta,0.2999999999999999,ok,8.41994335625415,717.4832274182954,90.49942116700859,62.382880000000036,0.01526,0.2857142857142859,0.8757902671527628,True,存在内部拐点,,6.296860738570047,4.702995094617241,1.5938656439528063,0.746879324456085,0.12738398826889646
beta,0.3049999999999999,ok,8.560275745525052,717.6210976529132,89.01582409869697,60.92192262295084,0.01526,0.28057553956834536,0.8778499644037117,True,存在内部拐点,,6.303347027015616,4.755265899264931,1.548081127750686,0.754403316029446,0.1304827913059539
beta,0.3099999999999999,ok,8.700608134795953,717.7538986881943,87.58008500033088,59.50809290322584,0.01526,0.27536231884057993,0.8798423623182692,True,存在内部拐点,,6.309612139662969,4.806932216214801,1.5026799234481674,0.7618427424401979,0.13354065226889106
beta,0.31499999999999984,ok,8.840940524066855,717.8819052359189,86.18992492096056,58.1391466666667,0.01526,0.27007299270073015,0.881770711801443,True,存在内部拐点,,6.315667244931824,4.858021562987479,1.4576456819443444,0.7692016337443883,0.13655836232263158
beta,0.31999999999999984,ok,8.981272913337758,718.0053724977723,84.84320734407055,56.81298000000004,0.01526,0.26470588235294135,0.8836380573179357,True,存在内部拐点,,6.321522768793217,4.908560079069065,1.4129626897241527,0.7764838091386186,0.13953664648926717
beta,0.32499999999999984,ok,9.12160530260866,718.1245378682127,83.53792723108485,55.527618461538495,0.01526,0.2592592592592594,0.8854472530548244,True,存在内部拐点,,6.327188455692991,4.9585726273825355,1.3686158283104557,0.7836928933136137,0.14247623545100446
beta,0.32999999999999985,ok,9.261937691879563,718.2396224619324,82.2722010609169,54.28120727272731,0.01526,0.25373134328358227,0.8872009775859709,True,存在内部拐点,,6.332673423550647,5.008082886986276,1.3245905365643713,0.7908323313123433,0.14537786265117114
beta,0.33499999999999985,ok,9.402270081150467,718.3508324866585,81.04425776150022,53.07200238805972,0.01526,0.24812030075187985,0.8889017471980978,True,存在内部拐点,,6.337986213497453,5.057113437914002,1.2808727755834513,0.7979054020572515,0.14824228192427638
beta,0.33999999999999986,ok,9.542602470421368,718.4583604792637,79.85243044147816,51.898362352941206,0.01526,0.24242424242424254,0.8905519280192011,True,存在内部拐点,,6.34313483493373,5.1056858389617314,1.2374489959719992,0.804915230690516,0.15107019859142445
beta,0.34499999999999986,ok,9.682934859692269,718.562386420816,78.69514884087704,50.758740869565244,0.01526,0.23664122137404597,0.8921537470732822,True,存在内部拐点,,6.348126806413045,5.153820699133495,1.1943061072795507,0.8118647998535519,0.15386231683384066
beta,0.3499999999999998,ok,9.823267248963173,718.663078744186,77.5709324288645,49.651680000000034,0.01526,0.23076923076923095,0.8937093023708949,True,存在内部拐点,,6.352969192798874,5.201537743375868,1.1514314494230058,0.8187569600167178,0.15661941456265918
beta,0.3549999999999998,ok,9.963599638234076,718.7605952461088,76.47838408479599,48.57580394366201,0.01526,0.22480620155038789,0.8952205721324012,True,存在内部拐点,,6.357668639085557,5.2488558731604655,1.1088127659250917,0.8255944389570175,0.15934212162806743
beta,0.3599999999999998,ok,10.103932027504978,718.8550839140987,75.41618430584049,47.529813333333365,0.01526,0.2187500000000001,0.8966894232298316,True,存在内部拐点,,6.362231401228856,5.295793222411521,1.066438178817335,0.832379850470174,0.1620311244576072
