eta,eta_fraction,c0,t1,t2,control_duration,clear_time,peak_I,cum_total_infections,q_start,q_mean_control,q_min_theory,q_max_theory,J_c,J_q,J,raw_c_cost,raw_q_cost,w_c,w_q,plateau_max_error,q_was_clipped,status,S_star,Sc,Sbar,S_end,C2,clear_time_method
2062.485337876194,0.0001566880906993994,12.8872,14.370748822579321,1105.9574410890389,1091.5866922664595,1515.5523876845068,2062.485337876194,2171739.0803261343,0.846904941143872,0.6169302227147542,0.323,0.846904941143872,0.0,473.92957100493675,526.8355042670498,0.0,320.8503195703422,1.0,2.0,0.0,0.0,ok,13151847.73883315,2974125.4115856644,1711863.1646776996,2753307.9401754364,-9880164.44244105,phase_formula
2317.0977998889393,0.0001760311327120671,12.8872,14.485895030935238,986.0713858840347,971.5854908530995,1378.0292965376982,2317.0977998889393,2176533.6518130573,0.8468889111934058,0.6169300645156969,0.323,0.8468889111934058,0.0,421.82893058931535,468.90864315097156,0.0,285.57818600896655,1.0,2.0,0.0,0.0,ok,13150470.80742057,2974125.4115856644,1711863.1646776996,2740429.009813735,-9879909.829979038,phase_formula
2603.142003316607,0.00019776206057255997,12.8872,14.601153744454981,879.3716719347599,864.7705181903049,1254.4225789032944,2603.142003316607,2181615.6443462875,0.8468708977662252,0.6169337503173615,0.323,0.8468708977662252,0.0,375.458259343522,417.35466629176494,0.0,254.18524157556442,1.0,2.0,0.0,0.0,ok,13148923.844466915,2974125.4115856644,1711863.1646776996,2726822.8114027055,-9879623.78577561,phase_formula
2924.49817601829,0.00022217565722238775,12.8872,14.716357434542191,784.4091723254517,769.6928148909095,1143.2575829035015,2924.49817601829,2187002.3404016485,0.8468506547976884,0.6169421787796636,0.323,0.8468506547976884,0.0,334.187862629374,371.4731990439605,0.0,226.24518300008629,1.0,2.0,0.0,0.0,ok,13147185.846492957,2974125.4115856644,1711863.1646776996,2712451.1311860536,-9879302.429602908,phase_formula
3200.0,0.00024310567499810073,12.8872,14.80548931667462,718.1905308770348,703.3850415603602,1064.975051433919,3200.0,2191389.0123124346,0.8468332954160349,0.6169526742088105,0.323,0.8468332954160349,0.0,305.409030967715,339.480440019434,0.0,206.7619139651431,1.0,2.0,0.0,0.0,ok,13145695.790169045,2974125.4115856644,1711863.1646776996,2700785.7543169237,-9879026.927778926,phase_formula
3285.5255574369426,0.0002496030963638185,12.8872,14.831601255222575,699.8942404500453,685.0626391948227,1043.2197017965216,3285.5255574369426,2192712.0682407077,0.8468279055294891,0.6169564987399394,0.323,0.8468279055294891,0.0,297.45733358235225,330.6409725945126,0.0,201.37861483525245,1.0,2.0,0.0,0.0,ok,13145233.21368525,2974125.4115856644,1711863.1646776996,2697274.1195519245,-9878941.40222149,phase_formula
3691.1215322651688,0.0002804164348754212,12.8872,14.946935549847389,624.678906999243,609.7319714493957,953.136590621193,3691.1215322651688,2198764.2671619286,0.8468023386369549,0.6169780598614566,0.323,0.8468023386369549,0.0,264.7678316132857,294.30318405801086,0.0,179.24782200219437,1.0,2.0,0.0,0.0,ok,13143039.428467372,2974125.4115856644,1711863.1646776996,2681250.271129131,-9878535.80624666,phase_formula
4146.7880641233005,0.0003150336598133633,12.8872,15.06217426823648,557.7411153372857,542.6789410690492,871.9624167500274,4146.7880641233005,2205179.557683516,0.8467736038561648,0.6165257654523377,0.323,0.8467736038561648,0.0,235.28840704897596,261.36729353333436,0.0,159.2902515721567,1.0,2.0,0.0,0.0,ok,13140574.694150075,2974125.4115856644,1711863.1646776996,2664336.4128718767,-9878080.139714804,phase_formula
4658.7063304314215,0.0003539243584617049,12.8872,15.177536433240375,498.17150115702503,482.99396472378464,798.7646514892208,4658.7063304314215,2211979.8134848336,0.8467413070432628,0.6165071169616608,0.323,0.8467413070432628,0.0,209.39758655237833,232.59103343683216,0.0,141.76216609596014,1.0,2.0,0.0,0.0,ok,13137805.528668268,2974125.4115856644,1711863.1646776996,2646487.7016479285,-9877568.221448496,phase_formula
5233.820570907399,0.0003976160883466838,12.8872,15.292899496678023,445.1603072159021,429.86740771922405,732.7109932414475,5233.820570907399,2219188.243076547,0.8467050045884258,0.6164938744134428,0.323,0.8467050045884258,0.0,186.3566484129663,206.98440788954457,0.0,126.1634509755782,1.0,2.0,0.0,0.0,ok,13134694.307779543,2974125.4115856644,1711863.1646776996,2627657.633048919,-9876993.10720802,phase_formula
