N_eff,eta,eta_fraction,t,I,q,phase
60000.0,100.0,0.0016666666666666668,170.3165105490006,7.394486541370673,0.323,post-control
60000.0,100.0,0.0016666666666666668,170.35788212640654,7.373989931372808,0.323,post-control
60000.0,100.0,0.0016666666666666668,170.38668628470273,7.36058707477844,0.323,post-control
60000.0,100.0,0.0016666666666666668,170.45686202040483,7.327933618553557,0.323,post-control
60000.0,100.0,0.0016666666666666668,170.52703775610692,7.295280162328674,0.323,post-control
60000.0,100.0,0.0016666666666666668,170.59721349180901,7.262626706103791,0.323,post-control
60000.0,100.0,0.0016666666666666668,170.66738922751114,7.229973249878895,0.323,post-control
60000.0,100.0,0.0016666666666666668,170.73756496321323,7.197319793654011,0.323,post-control
60000.0,100.0,0.0016666666666666668,170.80774069891532,7.164666337429129,0.323,post-control
60000.0,100.0,0.0016666666666666668,170.87791643461745,7.132012881204233,0.323,post-control
60000.0,100.0,0.0016666666666666668,170.94809217031954,7.099359424979349,0.323,post-control
60000.0,100.0,0.0016666666666666668,171.01826790602163,7.066705968754467,0.323,post-control
60000.0,100.0,0.0016666666666666668,171.08844364172373,7.034052512529583,0.323,post-control
60000.0,100.0,0.0016666666666666668,171.15861937742585,7.001399056304687,0.323,post-control
60000.0,100.0,0.0016666666666666668,171.22879511312794,6.968745600079804,0.323,post-control
60000.0,100.0,0.0016666666666666668,171.29897084883004,6.936092143854921,0.323,post-control
60000.0,100.0,0.0016666666666666668,171.35788212640654,6.908680150175762,0.323,post-control
60000.0,100.0,0.0016666666666666668,171.36914658453216,6.903758896570002,0.323,post-control
60000.0,100.0,0.0016666666666666668,171.43932232023425,6.873100289781343,0.323,post-control
60000.0,100.0,0.0016666666666666668,171.50949805593635,6.842441682992684,0.323,post-control
60000.0,100.0,0.0016666666666666668,171.57967379163844,6.811783076204025,0.323,post-control
60000.0,100.0,0.0016666666666666668,171.64984952734056,6.781124469415353,0.323,post-control
60000.0,100.0,0.0016666666666666668,171.72002526304266,6.750465862626695,0.323,post-control
