strategy,t,S,I,Sq,Iq,Cc,Cq,c,q,Rt
常规控制,37.689579372876906,639.9956166043535,29.34874112102588,31938.056561663332,5.565668404218746,11794.657789420016,5627.288723755785,12.8872,0.323,0.05665035017384611
常规控制,37.714578713008066,639.9444319902555,29.145065684311056,31938.08968032213,5.5225656305632596,11794.670020071755,5627.294559059347,12.8872,0.323,0.05664581947670236
常规控制,37.73957805313923,639.8936067089385,28.942803033072337,31938.12256647708,5.479800999060672,11794.682164860305,5627.300353397163,12.8872,0.323,0.05664132058653876
常规控制,37.76457739327039,639.8431382005652,28.741943341950943,31938.15522178451,5.437371810902203,11794.694224397346,5627.306107061069,12.8872,0.323,0.056636853276766756
常规控制,37.78957673340156,639.7930239233132,28.542476851134616,31938.18764788908,5.395275387780216,11794.706199290249,5627.311820340845,12.8872,0.323,0.05663241732239241
常规控制,37.81457607353272,639.7432613533744,28.344393866358086,31938.219846423814,5.353509071888324,11794.718090142085,5627.317493524217,12.8872,0.323,0.05662801250001637
常规控制,37.83957541366388,639.6938479849557,28.14768475890265,31938.25181901006,5.312070225921294,11794.729897551615,5627.3231268968575,12.8872,0.323,0.05662363858783392
常规控制,37.86457475379505,639.6447813302789,27.952339965596373,31938.28356725752,5.270956233075097,11794.741622113299,5627.328720742388,12.8872,0.323,0.05661929536563491
常规控制,37.88957409392621,639.5960589195804,27.75834998881424,31938.315092764242,5.230164497046931,11794.753264417292,5627.334275342373,12.8872,0.323,0.056614982614803855
常规控制,37.914573434057374,639.5476783011113,27.565705396477757,31938.346397116613,5.189692442035145,11794.764825049442,5627.3397909763235,12.8872,0.323,0.056610700118319826
常规控制,37.939572774188534,639.4996370411377,27.374396822055417,31938.377481889358,5.1495375127393315,11794.776304591294,5627.345267921698,12.8872,0.323,0.05660644766075654
常规控制,37.964572114319694,639.4519327239401,27.18441496456229,31938.408348645557,5.109697174360242,11794.78770362009,5627.350706453901,12.8872,0.323,0.05660222502828229
常规控制,37.98957145445086,639.4045629518141,26.995750588560213,31938.43899893663,5.07016891259983,11794.799022708765,5627.356106846281,12.8872,0.323,0.056598032008660024
常规控制,38.01457079458202,639.3575253450698,26.80839452415793,31938.46943430233,5.030950233661275,11794.81026242595,5627.3614693701375,12.8872,0.323,0.05659386839124723
常规控制,38.03957013471318,639.3108175420323,26.622337667010775,31938.499656270775,4.992038664248918,11794.82142333597,5627.366794294711,12.8872,0.323,0.05658973396699606
常规控制,38.06456947484435,639.2644371990413,26.437570978320842,31938.529666358405,4.953431751568303,11794.832505998847,5627.3720818871925,12.8872,0.323,0.05658562852845327
常规控制,38.08956881497551,639.2183819904512,26.254085484837137,31938.55946607002,4.915127063326196,11794.8435109703,5627.377332412715,12.8872,0.323,0.05658155186976021
常规控制,38.114568155106674,639.1726496086313,26.071872278855206,31938.589056898752,4.877122187730523,11794.85443880174,5627.382546134362,12.8872,0.323,0.056577503786652814
