c0,t1,t2,control_duration,q_max,cost_J,has_internal_inflection,t_inf,lambda_inf,t2_minus_tinf,background_peak_fraction
3.748002201891313,127.14349893018455,185.9507998299225,58.80730089973794,0.451873997341952,1.4152688823508035,True,145.30557261461274,0.30884045699348067,40.645227215309745,0.006446353141083071
3.7525051827183113,126.44083787422872,185.52924617431367,59.08840830008494,0.4526464334902416,1.4392110532624582,True,144.9327929566263,0.31295402286832263,40.59645321768738,0.006502724137557855
3.757008163545309,125.74604179877174,185.1133901475811,59.36734834880935,0.453415444973144,1.4632919481385187,True,144.56559401088091,0.31700173134794574,40.547796136700185,0.006559226685606254
3.7615111443723075,125.0589762568297,184.70312654053578,59.64415028370607,0.45418107819832787,1.4875105213961863,True,144.2038709880776,0.32098528757945965,40.49925555245818,0.0066158596746675805
3.766014125199306,124.37950994484785,184.29835256746924,59.9188426226214,0.4549433783206971,1.5118657335912056,True,143.8475215203894,0.3249063353602178,40.450831047079845,0.006672622001780315
3.7705171060263036,123.70751460598434,183.89896779575557,60.191453189771224,0.45570238929021945,1.5363565513246862,True,143.49644559107557,0.3287664599606993,40.40252220468,0.006729512571525716
3.775020086853302,123.04286493717024,183.50487407799085,60.46200914082061,0.4564581538974657,1.5609819471546793,True,143.1505454666333,0.33256719078968666,40.354328611357545,0.006786530295972003
3.7795230676802998,122.38543850610799,183.11597549290184,60.73053698679386,0.45721071381698974,1.5857408995120899,True,142.80972563771786,0.3363100039120555,40.30624985518398,0.00684367409461905
3.784026048507298,121.73511566113635,182.7321782780179,60.99706261688154,0.45796010964867184,1.610632392620721,True,142.47389275182627,0.33999632442874816,40.25828552619163,0.006900942894343502
3.7885290293342964,121.09177945189055,182.35339077209554,61.261611320205,0.4587063809571399,1.6356554164211907,True,142.14295555573352,0.343627528727766,40.210435216362015,0.006958335629344177
3.793032010161294,120.45531555410551,181.97952336070273,61.52420780659722,0.4594495663093753,1.6608089664985206,True,141.8168248410887,0.34720494661440576,40.162698519614025,0.007015851241088222
3.7975349909882925,119.82561218941078,181.61048841586307,61.7848762264523,0.46018970331060316,1.6860920440131169,True,141.49541338407042,0.3507298633283015,40.11507503179266,0.007073488678257481
3.802037971815291,119.2025600517228,181.24620024141788,62.043640189695076,0.4609268286385606,1.7115036556350436,True,141.17863589076006,0.3542035214543602,40.06756435065782,0.007131246896695413
3.8065409526422886,118.58605224167013,180.88657502558686,62.30052278391673,0.4616609780762302,1.7370428134812426,True,140.86640894971458,0.3576271227341332,40.02016607587228,0.007189124859354357
3.811043933469287,117.97598419763155,180.53153078935406,62.55554659172253,0.462392186543122,1.7627085350557188,True,140.55865098036267,0.36100182978369666,39.972879808991394,0.007247121536243344
3.8155469142962852,117.37225362269906,180.18098733002995,62.8087337073309,0.4631204881251795,1.7884998431923496,True,140.2552821765789,0.3643287677237311,39.92570515345105,0.007305235904376373
3.820049895123283,116.77476043496476,179.8348661874298,63.06010575246504,0.46384591610338366,1.8144157660002878,True,139.95622447287252,0.3676090257270396,39.87864171455729,0.00736346694772079
3.8245528759502814,116.18340669424305,179.49309058581397,63.30968389157093,0.4645685029811195,1.840455336811656,True,139.66140148633923,0.37084365848842993,39.831689099474744,0.007421813657146628
3.829055856777279,115.598096549066,179.15558539546566,63.55748884639968,0.4652882805103744,1.8666175941316498,True,139.37073847824965,0.3740336876215381,39.784846917216015,0.007480275030375759
3.8335588376042775,115.01873617737522,178.82227708735832,63.80354090998311,0.46600527971682326,1.89290158159062,True,139.08416230872749,0.3771801029868365,39.73811477863083,0.007538850071932064
3.8380618184312754,114.44523373729066,178.49309369732555,64.04785996003487,0.4667195309238573,1.9193063478982282,True,138.80160140093034,0.3802838639548264,39.69149229639521,0.00759753779309149
3.8425647992582737,113.87749930283015,178.16796477463532,64.29046547180519,0.46743106377561394,1.9458309467994495,True,138.52298568963477,0.38334590060812335,39.64497908500056,0.007656337211832863
3.847067780085272,113.31544482389378,177.84682135431035,64.53137653041655,0.4681399072590521,1.9724744370324003,True,138.24824659356702,0.3863671148859079,39.59857476074333,0.007715247352788869
3.85157076091227,112.75898406818816,177.52959591089405,64.77061184270589,0.46884608972512376,1.999235882287805,True,137.97731696917958,0.38934838167398567,39.55227894171446,0.007774267247197729
3.856073741739268,112.20803258074152,177.2162223293368,65.00818974859529,0.46954963890908386,2.0261143511700346,True,137.7101310815481,0.3922905498434932,39.5060912477887,0.007833395932854897
