role,c0,t,I,q,I_cum,Iq_cum,It_cum,phase
near-inflection,3.4930896646937613,186.80031765436374,40.0,0.3991897466855193,288.8110104696896,138.59159262475137,427.40260309444096,threshold-control
near-inflection,3.4930896646937613,186.80976280286316,40.0,0.3991703528319208,288.9225765637648,138.66571626025268,427.58829282401746,threshold-control
near-inflection,3.4930896646937613,186.81920795136259,40.0,0.39915095900602915,289.03414265784,138.73983390207712,427.77397655991706,threshold-control
near-inflection,3.4930896646937613,186.828653099862,40.0,0.3991315652078863,289.14570875191515,138.8139455506202,427.95965430253534,threshold-control
near-inflection,3.4930896646937613,186.83809824836143,40.0,0.3991121714375344,289.25727484599037,138.8880512062774,428.14532605226776,threshold-control
near-inflection,3.4930896646937613,186.84754339686086,40.0,0.39909277769501583,289.3688409400656,138.9621508694441,428.3309918095096,threshold-control
near-inflection,3.4930896646937613,186.85698854536028,40.0,0.3990733839803725,289.48040703414074,139.03624454051575,428.51665157465646,threshold-control
near-inflection,3.4930896646937613,186.8664336938597,40.0,0.39905399029364674,289.59197312821595,139.11033221988774,428.7023053481037,threshold-control
near-inflection,3.4930896646937613,186.87587884235913,40.0,0.3990345966348807,289.7035392222911,139.1844139079554,428.88795313024656,threshold-control
near-inflection,3.4930896646937613,186.88532399085855,40.0,0.3990152030041164,289.8151053163663,139.25848960511405,429.0735949214804,threshold-control
near-inflection,3.4930896646937613,186.894769139358,40.0,0.398995809401396,289.9266714104418,139.33255931175918,429.25923072220104,threshold-control
near-inflection,3.4930896646937613,186.90421428785743,40.0,0.398976415826762,290.03823750451704,139.4066230282857,429.44486053280275,threshold-control
near-inflection,3.4930896646937613,186.91365943635685,40.0,0.3989570222802561,290.1498035985922,139.48068075508903,429.6304843536812,threshold-control
near-inflection,3.4930896646937613,186.92310458485628,40.0,0.39893762876192074,290.2613696926674,139.55473249256437,429.8161021852317,threshold-control
near-inflection,3.4930896646937613,186.9325497333557,40.0,0.39891823527179804,290.3729357867426,139.62877824110697,430.00171402784963,threshold-control
near-inflection,3.4930896646937613,186.94199488185512,40.0,0.39889884180993007,290.4845018808178,139.70281800111198,430.18731988192974,threshold-control
near-inflection,3.4930896646937613,186.95144003035455,40.0,0.39887944837635914,290.596067974893,139.7768517729745,430.3729197478675,threshold-control
near-inflection,3.4930896646937613,186.96088517885397,40.0,0.3988600549711274,290.70763406896816,139.85087955708974,430.5585136260579,threshold-control
near-inflection,3.4930896646937613,186.9703303273534,40.0,0.3988406615942768,290.8192001630434,139.9249013538527,430.7441015168961,threshold-control
near-inflection,3.4930896646937613,186.97977547585282,40.0,0.3988212682458496,290.93076625711853,139.9989171636585,430.9296834207771,threshold-control
near-inflection,3.4930896646937613,186.98922062435224,40.0,0.39880187492588803,291.04233235119375,140.07292698690213,431.1152593380959,threshold-control
