p,K,h,i_pk,K_over_ipk,regime,s1,s_switch,n_roots_D,tau_transversality,M_q1_arc_margin,G4b_min_relD,G1_reachable_frac,G1_gap,q1_arc_rel_len,J_star,J_fillbox,saving_pct
0.4632323232323232,0.02,0.32381160052333186,0.3143149872772767,0.0636304370123998,III_boundary_then_q1,0.9750841674264865,0.36284650971281507,1.0,0.9547436155056793,0.00038133323389947854,0.02277633707011069,0.146,0.22686777598382632,0.006313074992321984,14.069551976478524,14.074966105161867,0.03846637102278733
0.4712121212121212,0.02,0.3183279742765273,0.3204898717269353,0.06240446817314856,III_boundary_then_q1,0.9752077613487298,0.35680846778016206,1.0,0.9412948201214532,0.00036728499616270436,0.022416947287712055,0.144,0.2243667737054939,0.006102180582889005,14.552593560185421,14.557979510057896,0.03699654796706749
0.47919191919191917,0.02,0.31302698145025293,0.32654888341545524,0.061246572919849154,III_boundary_then_q1,0.9753252860232482,0.35096927540109957,1.0,0.9282197550830033,0.00035388781725413383,0.022097154183994758,0.142,0.22179676391486436,0.005902487529942498,15.038861785235218,15.04421960237777,0.03561379243431129
0.48717171717171714,0.02,0.30789964752228904,0.33249479909323537,0.06015131681621212,III_boundary_then_q1,0.9754371782662268,0.3453192364100083,1.0,0.9155029501683152,0.00034110434941206174,0.021815713765187268,0.138,0.2152480486004801,0.00571317205353339,15.528279127446488,15.53360887310571,0.03431105870348577
0.4951515151515151,0.02,0.302937576499388,0.3383303564174483,0.05911382062129547,III_boundary_then_q1,0.975543833915614,0.3398492761838392,1.0,0.9031297676621426,0.00032889982068939216,0.021571196262315025,0.136,0.2125530338411395,0.00553348778899458,16.020771169844632,16.026072919081756,0.03308202367412544
0.5031313131313131,0.02,0.2981329050391488,0.3440582482463906,0.05812969199819151,III_boundary_then_q1,0.9756456125309023,0.33455089256413106,1.0,0.8910863816598337,0.0003172418267086958,0.02136199976731674,0.134,0.20980245968953687,0.00536275696232022,16.5162664234439,16.52154026389476,0.0319209974773769
0.5111111111111111,0.02,0.29347826086956524,0.3496811181504058,0.0571949669624356,III_boundary_then_q1,0.975742841459998,0.32941611136083393,1.0,0.8793596983824405,0.00030610014173730073,0.02118636240427073,0.132,0.20699999856516413,0.005200362742570254,17.01469616176575,17.0199421925021,0.030822846969828625
0.519090909090909,0.02,0.28896672504378285,0.3552015569460278,0.056306059500293694,III_boundary_then_q1,0.9758358193705239,0.32443744594625157,1.0,0.8679373141545694,0.0002954465470851388,0.021042373195201376,0.13,0.2041490025494975,0.005045742592325108,17.51599426776624,17.5212125982493,0.02978292999870369
0.527070707070707,0.02,0.2845917976236106,0.3606221000899842,0.0554597180677765,III_boundary_then_q1,0.975924819326141,0.31960786050686396,1.0,0.8568074670486411,0.00028525467501411056,0.020927981755433773,0.128,0.20125253775909646,0.004898382467642265,18.02009709200007,18.025287841118566,0.028797038717202753
0.535050505050505,0.02,0.2803473664338305,0.3659452257948792,0.05465298790702209,III_boundary_then_q1,0.976010091474897,0.3149207365722113,1.0,0.8459590045455901,0.000275499866569906,0.020841006932164553,0.128,0.19831341437352046,0.004757811743688219,18.52694332098322,18.532106616168726,0.027861350533129586
0.543030303030303,0.02,0.2762276785714286,0.37117335374956545,0.05388317829920035,III_boundary_then_q1,0.9760918654055561,0.31036984248469,1.0,0.8353813349515857,0.00026615904196487073,0.02077914448263345,0.124,0.19533421294661102,0.004623598762423239,19.03647385483264,19.041609831245353,0.026972385519032346
0.551010101010101,0.02,0.2722273143904675,0.37630884434506845,0.05314783402130288,III_boundary_then_q1,0.9761703522188176,0.30594930551300326,1.0,0.8250643959901858,0.0002572105822146243,0.02073997387324754,0.122,0.19231730752774734,0.004495346915288424,19.5486316933613,19.55374049314067,0.026126969319042008
0.5589898989898989,0.02,0.26834116371521505,0.38135399832200817,0.05244471039507071,III_boundary_then_q1,0.9762457463529082,0.301653586345792,1.0,0.8149986224746316,0.00024863422097756575,0.020720964268284642,0.12,0.18926488603613376,0.00437269118745347,20.063361829895758,20.06844360147045,0.025322200742655343
0.5669696969696969,0.02,0.26456440406199894,0.38631105676820443,0.051771751415337984,III_boundary_then_q1,0.9763182271968924,0.29747745573166784,1.0,0.8051749081692964,0.0002404109455615069,0.020068172257997584,0.12,0.19010352794372762,0.0042552951015210954,20.580611152159953,20.585666049612122,0.02455542337073986
0.5749494949494949,0.02,0.2608924806746311,0.39118220140594323,0.05112707052651742,III_boundary_then_q1,0.9763879605199741,0.29341597305768885,1.0,0.7955845964716177,0.0002325229062432124,0.02009817078801064,0.118,0.18698674399341286,0.0041428480079114,21.10032834963642,21.105356532116048,0.0238242006098112
0.5829292929292929,0.02,0.2573210881996188,0.395969555117538,0.05050893368320522,III_boundary_then_q1,0.9764550997408319,0.2894644666810693,1.0,0.786219431769802,0.00022495333310969766,0.02014260621382983,0.116,0.183840029000905,0.004035062676979333,21.622463826875013,21.627465458060072,0.023126293715548675
0.5909090909090908,0.02,0.2538461538461539,0.4006751826655783,0.049915744386626784,III_boundary_then_q1,0.9765197870575046,0.2856185158488769,1.0,0.7770715523330832,0.000217687026652495,0.019544963308326457,0.114,0.18066498906485318,0.0039316731544547364,22.146969622272,22.151944869870853,0.022459642383907658
0.5988888888888888,0.02,0.25046382189239336,0.40530109157086464,0.0493460304350133,III_boundary_then_q1,0.9765821544553939,0.2818739340580303,1.0,0.768133455981127,0.00021070887942675865,0.019632178845511515,0.114,0.18139054156261494,0.003832432847273278,22.673799331888755,22.678748367181417,0.021822347567570764
0.6068686868686869,0.02,0.24717043941411448,0.4098492331166446,0.04879843216470757,III_boundary_then_q1,0.9766423246084552,0.2782267537234173,1.0,0.7593979837653203,0.00020400456206248044,0.01972747844246834,0.112,0.17816386852140104,0.0037371128114840773,23.202908037919507,23.207831035334415,0.021212656225448937
0.6148484848484849,0.02,0.24396254312469196,0.41432150345254154,0.04827169199121933,III_boundary_then_q1,0.9767004116865639,0.27467321203563644,1.0,0.750858305240614,0.00019756092493156447,0.019185592207155197,0.11,0.1749130169810876,0.0036455002178297294,23.734252241454374,23.739149378178336,0.020628947760290083
0.6228282828282828,0.02,0.2408368472267272,0.41871974477564794,0.047764645086694195,III_boundary_then_q1,0.9767565220802636,0.27120973790199054,1.0,0.7425078940552381,0.0001913655725759138,0.01931649082244195,0.11,0.17556848263755118,0.003557396973903527,24.2677897992169,24.27266125483521,0.020069721927752325
0.6308080808080808,0.02,0.23779023218574857,0.42304574656973193,0.04727621105322551,III_boundary_then_q1,0.9768107550525986,0.26783293987509127,1.0,0.7343405036273802,0.000185406813204459,0.018799671994203675,0.108,0.17227338833005432,0.00347261848459368,24.8034798639833,24.808325820147875,0.019533588036967774
0.6387878787878788,0.02,0.23481973434535103,0.4273012468864633,0.04680538647085701,III_boundary_then_q1,0.9768632033264537,0.264539594982959,1.0,0.7263501766156429,0.00017967361209541554,0.01896214485541062,0.106,0.16895748045112902,0.0033909925349252484,25.34128282841702,25.346103468540264,0.019019255284053512
0.6467676767676768,0.02,0.23192253631110415,0.4314879336551111,0.046351238215588265,III_boundary_then_q1,0.9769139536147273,0.26132663838301806,1.0,0.7185311998143923,0.00017415554849189072,0.018470741752738856,0.106,0.169552697100039,0.003312358281470337,25.881160272075356,25.885955781047905,0.018525524083835745
0.6547474747474747,0.02,0.22909595803764268,0.43560744600931517,0.045912897456698465,III_boundary_then_q1,0.9769630870997299,0.25819115376986956,1.0,0.7108781065079366,0.00016884277578519148,0.018660485723302186,0.104,0.16619857474799354,0.00323656534023298,26.423074911365674,26.42784547529608,0.018051278280956925
0.6627272727272727,0.02,0.22633744855967078,0.43966137562139224,0.04548955425464232,III_boundary_then_q1,0.9770106798673941,0.2551303644735452,1.0,0.7033856690606541,0.000163725984597769,0.018194678995629845,0.104,0.16675836223369128,0.0031634729604533597,26.966990552247523,26.97173635822232,0.017595478139653613
0.6707070707070707,0.02,0.22364457831325302,0.4436512680362102,0.045080452690980766,III_boundary_then_q1,0.9770568033011906,0.2521416251908676,1.0,0.6960488641255418,0.00015879636862960755,0.0184071388605452,0.102,0.16336942840749133,0.003092949275048852,27.512872045493594,27.517593281356067,0.017157154022155736
0.6786868686868687,0.02,0.22101503199880934,0.4475786239980168,0.04468488647055812,III_boundary_then_q1,0.9771015244400478,0.2492224142979978,1.0,0.6888628920596875,0.0001540455929602754,0.017966962477686036,0.104,0.1638969129167126,0.0030248706195576693,28.06068524433851,28.065382098484847,0.01673540067921824
