valid,R0,beta,gamma,c0,q0,N,eta,eta_frac,eta_percent,S0,I0,a,rho1,S_star,S_c,S_bar,t1,t2,Delta_t,S_end,t_end,q_max,q_mean,J_q,J,I_pre,I_wall,I_post,I_t_cum,Imax_pre,platform_error,q_t2_error,cum_decomp_error
1,4.68271411244292,0.155,0.3504,10.75,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,148.130055104722,761.263943805261,162.939693023871,135.582982145536,0.328262472751774,145.904017178931,145.575754706179,149.591331025508,173.082921370232,0.789227856364398,0.399459219811514,56.7968107130677,61.5549172975333,0.679525382186173,158.515794045826,12.323177025518,171.51849645353,317.111088169162,NaN,5.20417042793042e-17,0
1,4.79161444063927,0.155,0.3504,11,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,144.763462943251,761.268469223257,159.23651818242,132.501550733138,0.318828829831929,143.85465966253,143.535830832698,146.045058998262,170.727670341214,0.794019356830909,0.402925359062255,56.5061532973749,61.7330331366263,0.675347526724945,158.168788194787,12.1783247091447,171.022460430657,322.342830027938,NaN,5.20417042793042e-17,0
1,4.90051476883562,0.155,0.3504,11.25,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,141.546497100067,761.272741792672,155.697928889477,129.557071827957,0.309922262540239,141.862807089388,141.552884826848,142.658112209159,168.440179776029,0.798597834813347,0.406279011238558,56.2075969930738,61.8795143461411,0.671403100490081,157.821976718541,12.0383286991744,170.531708518205,327.415181775355,NaN,5.20417042793042e-17,0
1,5.00941509703196,0.155,0.3504,11.5,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,138.469399337022,761.276782129186,152.313191304923,126.740613744741,0.301499797326413,139.9264432844,139.624943487073,139.420044294934,166.217873031949,0.802977188420075,0.409526383114295,55.9024935121821,61.9969879852356,0.667673071134587,157.476135005509,11.9029235976382,170.046731674282,332.335393330064,NaN,2.74086309204336e-16,0
1,5.11831542522831,0.155,0.3504,11.75,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,135.52324190432,761.280608666562,149.072485106946,124.044004941661,0.293523008760471,138.043592708774,137.750069700014,136.321300886141,164.058256066962,0.807170132388712,0.412673204645921,55.5920310332487,62.0878498189974,0.664140420649603,157.131912816318,11.7718638779237,169.567917114891,337.110296219754,NaN,5.20417042793042e-17,0
1,5.22721575342466,0.155,0.3504,12,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,132.699841031313,761.284237937879,145.966808333885,121.45975483871,0.285957433340424,136.212329087747,135.926371654407,133.353126477697,161.958922112304,0.811188321423727,0.415724775504611,55.2772548182651,62.154286822183,0.660789885736054,156.789853240025,11.6449220118862,169.095565137647,341.746330782662,NaN,2.74086309204336e-16,0
1,5.336116081621,0.155,0.3504,12.25,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,129.991681010266,761.287684814346,142.987893878091,118.980984331797,0.278772071687585,134.430781440981,134.152009369293,130.507482722559,159.917554193915,0.815042458421156,0.418686006137814,54.9590849921974,62.1982973050291,0.657607737328045,156.450408624226,11.5218868082643,168.629903169818,346.24957169295,NaN,5.20417042793042e-17,0
1,5.44501640981735,0.155,0.3504,12.5,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,127.391847390061,761.290962709,140.128136000529,116.601364645161,0.271938963958644,132.697138095603,132.425199131644,127.776976547121,157.931926024542,0.818742389697975,0.421561454108644,54.6383319128031,62.2217089243217,0.654581592539705,156.113954001921,11.4025619348215,168.171097529282,350.62575184799,NaN,5.20417042793042e-17,0
1,5.5539167380137,0.155,0.3504,12.75,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,124.893968029471,761.294083751157,137.380525490715,114.315063377609,0.265432826215006,131.00964913627,130.744216310055,125.154796738463,155.999901671098,0.822297189011196,0.424355356345277,54.3157094882363,62.2261948143507,0.651700253615705,155.780798440075,11.2867646006635,167.719263294354,354.880284676383,NaN,5.20417042793042e-17,0
1,5.66281706621005,0.155,0.3504,13,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,122.492160951981,761.2970589364,134.738592308201,112.116696774194,0.259230737774557,129.366627648932,129.107396911157,122.634657861421,154.119434311534,0.825715231876835,0.42707165783635,53.9918467422055,62.2132880463458,0.648953569457793,155.451194656669,11.174324378619,167.274472604746,359.01828493861,NaN,2.74086309204336e-16,0
1,5.77171739440639,0.155,0.3504,13.25,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,120.180988103831,761.299898256021,132.196354717481,110.001287401096,0.253311871399871,127.766450038777,127.513138167377,120.210750536067,152.288564325197,0.829004261470802,0.429714037228573,53.6672978787844,62.1843946014967,0.646332316128735,155.125347190423,11.0650821504137,166.836761656966,363.044588099763,NaN,2.74086309204336e-16,0
1,5.88061772260274,0.155,0.3504,13.5,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,117.955414250056,761.302610809124,129.748274074564,107.964226523297,0.247657259625259,126.20755564312,125.959898383495,117.877697249935,150.505416906114,0.832171447203639,0.432285929716177,53.3425510595002,62.1408050216021,0.64382809335724,154.803419356922,10.958889159798,166.406136610077,366.963768357434,NaN,5.20417042793042e-17,0
1,5.98951805079909,0.155,0.3504,13.75,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,115.8107703546,761.305204900036,127.389214545936,106.00124058651,0.242249591701395,124.688445813143,124.446196221442,115.630512999583,148.76819934598,0.835223436902107,0.434790547556115,53.018036072524,62.083704882613,0.641433234607218,154.485539184124,10.8556061607945,165.982578579526,370.780155408571,NaN,5.20417042793042e-17,0
1,6.09841837899543,0.155,0.3504,14,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,113.742720883983,761.307688123232,125.11440714333,104.108361290323,0.23707303657566,123.207682601429,122.970609564853,113.464570156947,147.075198100467,0.83816640339723,0.437230898496106,52.694131046464,62.0141842196564,0.639140728677334,154.171804487108,10.7551026499907,165.566047865776,374.497850038029,NaN,5.20417042793042e-17,0
1,2.61360787671233,0.155,0.3504,6,0.01526,763,7.63,0.01,1,762,1,0.909109697923758,265.399682062626,750.119823418632,291.93361666777,242.919509677419,3.6331182082994,42.5797493292911,38.9466311209917,231.448440332516,84.4636452741747,0.616756282526637,0.294492333308983,11.0436853204285,8.87862760831586,10.9677516330892,159.005199826521,55.8397753589855,225.812726818596,173.712113090637,NaN,2.74086309204336e-16,0
1,2.72250820490868,0.155,0.3504,6.25,0.01526,763,7.63,0.01,1,762,1,0.909109697923758,254.783694780121,750.412729269311,280.256272001059,233.202729290323,3.4018125876208,41.7564177337372,38.3546051461164,221.087507648782,82.8367795117119,0.632229637736758,0.302803070327785,11.1995053769768,9.26295559419416,10.6973416269651,159.523112323059,54.624466850966,224.84492080099,184.112513567563,NaN,5.20417042793042e-17,0
1,2.83140853310502,0.155,0.3504,6.5,0.01526,763,7.63,0.01,1,762,1,0.909109697923758,244.984321903963,750.67042241204,269.477184616403,224.233393548387,3.19822529184,40.9530910511992,37.7548657593592,211.54805710794,81.2768082616378,0.646496045592831,0.310607634003965,11.323608540492,9.61005201297436,10.4594399116461,159.878911205587,53.4800369744352,223.818388091668,194.105172068437,NaN,2.74086309204336e-16,0
1,2.94030886130137,0.155,0.3504,6.75,0.01526,763,7.63,0.01,1,762,1,0.909109697923758,235.910828500112,750.898900677649,259.496548149128,215.928453046595,3.01765121248919,40.1715236349432,37.1538724224541,202.737460468357,79.7811014806245,0.659692362588674,0.317958040450419,11.4206840154982,9.92322584979764,10.2485093035363,160.103589026684,52.3998589027504,222.751957232971,203.706872535377,NaN,5.20417042793042e-17,0
1,3.04920918949772,0.155,0.3504,7,0.01526,763,7.63,0.01,1,762,1,0.909109697923758,227.485441767965,751.10287137261,250.22881428666,208.216722580645,2.85639395995166,39.4127104257505,36.5563164657988,194.576441883281,78.3468229116839,0.671935320749952,0.324898877798435,11.4946654009326,10.2055371039786,10.0602040281525,160.221733833127,51.3781419099212,221.660079771201,212.935002838053,NaN,5.20417042793042e-17,0
1,3.15810951769406,0.155,0.3504,7.25,0.01526,763,7.63,0.01,1,762,1,0.909109697923758,219.64111618976,751.286081012486,241.600234483671,201.036835595106,2.71150909945868,38.677097985815,35.9655888863563,186.996761420129,76.9710544984044,0.683325139493039,0.331468654295926,11.5488661603218,10.4597921677756,9.8910653109637,160.253018135026,50.409800457364,220.553883903354,221.807043668198,NaN,2.74086309204336e-16,0
1,3.26700984589041,0.155,0.3504,7.5,0.01526,763,7.63,0.01,1,762,1,0.909109697923758,212.319745650101,751.451548778809,233.546893334216,194.335607741935,2.58062206848529,37.9647389726439,35.3841169041586,179.939364011235,75.650880259003,0.693948374827781,0.337700851222347,11.586088484603,10.6885505199401,9.73830585054004,160.21330025107,49.490347491982,219.441953593592,230.340226377597,NaN,2.74086309204336e-16,0
