eta,eta_fraction,c0,t1,t2,control_duration,clear_time,peak_I,cum_total_infections,q_start,q_mean_control,q_min_theory,q_max_theory,J_q,J_total,w_c,w_q,C2,C2_daily,plateau_max_error,q_was_clipped,status,S_star,Sc,Sbar,strategy
320.28378333286037,2.4332126668150144e-05,12.8872,12.528800955116997,7044.487405138357,7031.95860418324,7857.970157795291,320.28378333286037,2123250.23964706,0.8470145239471846,0.6171495072080043,0.323,0.8470145239471846,2068.4471581275866,3055.313379804411,1.0,2.0,3397.8751443062397,0.48320465684836067,0.0,0.0,ok,13161268.347776858,2974125.4115856644,1711863.1646776996,情景一阈值控制
320.28378333286037,2.4332126668150144e-05,12.8872,,,,45.27247064225558,151.90363476994975,2096.75783869108,,,,,,,1.0,2.0,49.35392945978424,1.0901532158423708,,,fixed_reference,,,,TDINN控制
320.28378333286037,2.4332126668150144e-05,12.8872,,,,75.57641977089962,1377549.706167043,,,,,,,,1.0,2.0,0.0,0.0,,,routine,,,,常规控制
320.28378333286037,2.4332126668150144e-05,12.8872,12.528800955116997,7044.487405138357,7031.95860418324,7857.970157795291,320.28378333286037,2123250.23964706,0.8470145239471846,0.6171495072080043,0.323,0.8470145239471846,2068.4471581275866,3055.313379804411,1.0,5.0,8494.6878607656,1.2080116421209017,0.0,0.0,ok,13161268.347776858,2974125.4115856644,1711863.1646776996,情景一阈值控制
320.28378333286037,2.4332126668150144e-05,12.8872,,,,45.27247064225558,151.90363476994975,2096.75783869108,,,,,,,1.0,5.0,106.82561583051039,2.3596153316802524,,,fixed_reference,,,,TDINN控制
320.28378333286037,2.4332126668150144e-05,12.8872,,,,75.57641977089962,1377549.706167043,,,,,,,,1.0,5.0,0.0,0.0,,,routine,,,,常规控制
320.28378333286037,2.4332126668150144e-05,12.8872,12.528800955116997,7044.487405138357,7031.95860418324,7857.970157795291,320.28378333286037,2123250.23964706,0.8470145239471846,0.6171495072080043,0.323,0.8470145239471846,2068.4471581275866,3055.313379804411,1.0,10.0,16989.3757215312,2.4160232842418035,0.0,0.0,ok,13161268.347776858,2974125.4115856644,1711863.1646776996,情景一阈值控制
320.28378333286037,2.4332126668150144e-05,12.8872,,,,45.27247064225558,151.90363476994975,2096.75783869108,,,,,,,1.0,10.0,202.61175978172065,4.475385524743389,,,fixed_reference,,,,TDINN控制
320.28378333286037,2.4332126668150144e-05,12.8872,,,,75.57641977089962,1377549.706167043,,,,,,,,1.0,10.0,0.0,0.0,,,routine,,,,常规控制
359.8226062857106,2.733591174395735e-05,12.8872,12.643884970601897,6271.848269220447,6259.204384249845,7052.247723934378,359.8226062857106,2125141.5945799327,0.8470120389868763,0.6171502106784719,0.323,0.8470120389868763,1841.146288306707,2719.5661570261555,1.0,1.0,1512.2383716107122,0.24160233134677409,0.0,0.0,ok,13161054.571285993,2974125.4115856644,1711863.1646776996,情景一阈值控制
