valid,R0,beta,gamma,c0,q0,N,eta,eta_frac,eta_percent,S0,I0,a,rho1,S_star,S_c,S_bar,t1,t2,Delta_t,S_end,t_end,q_max,q_mean,J_q,J,I_pre,I_wall,I_post,I_t_cum,Imax_pre,q_t2_error
1,4.83517457191781,0.155,0.3504,11.1,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,143.45928760142,761.270207385889,157.801954955551,131.307843068875,0.315205469763062,143.051131734346,142.735926264583,144.671767403937,169.804688929421,0.79587550436719,0.404279959537556,56.3875990210651,61.7952691996329,0.673742858990074,158.029993798776,12.1217588792271,170.825495536993,324.390481844223,2.74086309204336e-16
1,4.87873470319635,0.155,0.3504,11.2,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,142.178401104978,761.271906483761,156.393008929162,130.135451612903,0.311663542219659,142.25667450531,141.94501096309,143.323270450368,168.892381882149,0.797698496028517,0.40561697466293,56.2678727867744,61.8526192939376,0.672174255750861,157.891284304579,12.0659524345505,170.62941099488,326.413108435801,2.74086309204336e-16
1,4.92229483447489,0.155,0.3504,11.3,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,140.920185165996,761.273567819227,155.009000000586,128.983810448187,0.308200332434989,141.47115909276,141.162958760325,141.998906274168,167.990584757256,0.79948921240252,0.406936798125304,56.1470598342085,61.9052498345425,0.670640514678664,157.752708323499,12.0108885366523,170.43423737483,328.411170845337,2.74086309204336e-16
1,4.96585496575342,0.155,0.3504,11.4,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,139.684043190856,761.275192637384,153.649271930405,127.852373514431,0.304813244989776,140.694457613043,140.389644368053,140.698036313976,167.099135205792,0.801248503164062,0.408239811171496,56.0252411135843,61.9533212019313,0.669140486301441,157.614311156617,11.9565508651943,170.240002508113,330.385119266282,2.74086309204336e-16
1,5.00941509703196,0.155,0.3504,11.5,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,138.469399337022,761.276782129186,152.313191304923,126.740613744741,0.301499797326413,139.9264432844,139.624943487073,139.420044294934,166.217873031949,0.802977188420075,0.409526383114295,55.9024935121821,61.9969879852356,0.667673071134587,157.476135005509,11.9029235976381,170.046731674281,332.335393330064,2.74086309204336e-16
1,5.0529752283105,0.155,0.3504,11.6,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,137.2756976186,761.278337434352,151.000146552295,125.648022246941,0.298257613679064,139.16699051701,138.868732903331,138.164335265789,165.346640242249,0.80467605998479,0.410796871813421,55.7788900677103,62.0363992147364,0.666237216990191,157.338219168626,11.8499913898908,169.854447775507,334.262422386355,2.74086309204336e-16
1,5.09653535958904,0.155,0.3504,11.7,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,136.102401057757,761.279859644099,149.709547009113,124.574107526882,0.295084419392387,138.415974991429,138.120890572036,136.930334685445,164.48528108504,0.806345882589518,0.412051624132813,55.6545001693328,62.0716985841866,0.664831916460939,157.200600224402,11.7977393578741,169.663171498737,336.166625776401,5.20417042793042e-17
1,5.14009549086758,0.155,0.3504,11.8,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,134.948990879301,761.281349803687,148.440822034459,123.51839475123,0.291978035599754,137.673273726517,137.381295690918,135.717487556075,163.633642081275,0.807987395030881,0.41329097637564,55.529389747148,62.1030246634202,0.663456204564702,157.063312202071,11.746153059921,169.472921466556,338.048413099467,2.74086309204336e-16
1,5.18365562214612,0.155,0.3504,11.9,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,133.814965745862,761.282808914818,147.193420168623,122.480425047438,0.288936374232716,136.938765137886,136.649828763653,134.525257599976,162.791572047577,0.809601311261097,0.4145152546983,55.4036214508513,62.1305111016935,0.662109156532397,156.926386741092,11.6952184800372,169.283714377662,339.908184472438,2.74086309204336e-16
1,5.22721575342466,0.155,0.3504,12,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,132.699841031313,761.284237937879,145.966808333885,121.45975483871,0.285957433340424,136.212329087747,135.926371654407,133.353126477698,161.958922112303,0.811188321423727,0.415724775504611,55.2772548182651,62.154286822183,0.660789885736054,156.789853240025,11.644922011886,169.095565137647,341.746330782662,2.74086309204336e-16
1,5.2707758847032,0.155,0.3504,12.1,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,131.603148130228,761.285637794055,144.760471074927,120.455955211943,0.28303929269497,135.493846927028,135.210807634333,132.200593044982,161.135545725405,0.81274909283802,0.416919845821307,55.1503464343691,62.1744762080474,0.659497541741901,156.653738995598,11.5952504435311,168.908486980871,343.563233934101,5.20417042793042e-17
1,5.31433601598173,0.155,0.3504,12.2,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,130.524433801292,761.287009367302,143.573909836608,119.468611316764,0.28018010966334,134.78320153047,134.503021420807,131.067172646336,160.321298662755,0.814284270934817,0.418100763655884,55.0229500814242,62.1911992804401,0.658231308481926,156.518069332691,11.5461909428478,168.722491584021,345.359267086895,2.74086309204336e-16
1,5.35789614726027,0.155,0.3504,12.3,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,129.463259542744,761.288353506215,142.406642276961,118.497321793863,0.277378115327291,134.080277325418,133.802899210091,129.9523964431,159.516039025526,0.81579448014678,0.419267818337784,54.8951168807392,62.2045718688435,0.656990402535976,156.382867725865,11.4977310436151,168.537589172016,347.134794890459,5.20417042793042e-17
1,5.40145627853881,0.155,0.3504,12.4,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,128.419200998045,761.289671025775,141.258201613437,117.541698231009,0.27463161083357,133.384960314905,133.110328704072,128.855810774115,158.719627235177,0.817280324755508,0.420421290843807,54.766895426595,62.2147057740779,0.655774071515122,156.248155913048,11.4498586321951,168.353788616758,348.890173710197,5.20417042793042e-17
1,5.44501640981735,0.155,0.3504,12.5,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,127.391847390061,761.290962709,140.128136000529,116.601364645161,0.271938963958644,132.697138095603,132.425199131644,127.776976547121,157.931926024542,0.818742389697975,0.421561454108644,54.6383319128031,62.2217089243217,0.654581592539705,156.113954001921,11.4025619348215,168.171097529282,350.62575184799,5.20417042793042e-17
1,5.48857654109589,0.155,0.3504,12.6,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,126.380800982203,761.292229308494,139.016007937033,115.675956989247,0.269298605874016,132.016699871139,131.747401265265,126.715468659187,157.152800425471,0.82018124133454,0.422688573321306,54.5094702523473,62.2256855244634,0.653412270807214,155.980280569513,11.355829505435,167.989522345755,352.341869756555,5.20417042793042e-17
1,5.53213667237443,0.155,0.3504,12.7,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,125.38567656502,761.293471547911,137.921393701308,114.765122682245,0.266709028097614,131.343536461259,131.076827433162,125.670875444581,156.382117753405,0.821597428180653,0.423802906208217,54.3803521905241,62.2267361990924,0.652265438241095,155.847152755475,11.3096502140495,167.809068407766,354.038860247824,2.74086309204336e-16
1,5.57569680365297,0.155,0.3504,12.8,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,124.406100966856,761.294690123333,136.843882813017,113.86852016129,0.264168779620559,130.677540307244,130.413371527623,124.642798148565,155.619747589301,0.82299148160424,0.424904703303669,54.251017411971,62.2249581294186,0.651140452220367,155.714586349476,11.2640132356181,167.629740037314,355.717048695473,5.20417042793042e-17
1,5.61925693493151,0.155,0.3504,12.9,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,123.441712587268,761.295885704573,135.783077519893,112.985818454614,0.261676464194805,130.018605473964,129.756929009769,123.630850425712,154.86556175916,0.824363916490642,0.425994208208321,54.121503641947,62.2204451844007,0.650036694375681,155.582595873105,11.2189080393728,167.451540606853,357.37675323173,5.20417042793042e-17
1,5.66281706621005,0.155,0.3504,13,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,122.492160951981,761.2970589364,134.738592308201,112.116696774194,0.259230737774557,129.366627648932,129.107396911157,122.634657861421,154.119434311534,0.825715231876835,0.42707165783635,53.9918467422055,62.2132880463458,0.648953569457793,155.451194656669,11.174324378619,167.274472604746,359.01828493861,2.74086309204336e-16
1,5.70637719748858,0.155,0.3504,13.1,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,121.557106288226,761.298210439698,133.71005343562,111.260844127062,0.256830306099132,128.721504138656,128.464673832557,121.653857515386,153.381241493236,0.827045911556597,0.428137282651837,53.8620808017758,62.2035743312333,0.647890504267019,155.320394911223,11.1302522809611,167.098537696451,360.641948033706,2.74086309204336e-16
