eta_frac,eta_percent,eta,c0,code,message
0.034,3.4,25.942,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0342,3.42,26.0946,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0344,3.44,26.2472,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0346,3.46,26.3998,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0348,3.48,26.5524,2.3,threshold_not_reached,Background peak does not exceed eta.
0.035,3.5,26.705,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0352,3.52,26.8576,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0354,3.54,27.0102,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0356,3.56,27.1628,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0358,3.58,27.3154,2.3,threshold_not_reached,Background peak does not exceed eta.
0.036,3.6,27.468,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0362,3.62,27.6206,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0364,3.64,27.7732,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0366,3.66,27.9258,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0368,3.68,28.0784,2.3,threshold_not_reached,Background peak does not exceed eta.
0.037,3.7,28.231,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0372,3.72,28.3836,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0374,3.74,28.5362,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0376,3.76,28.6888,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0378,3.78,28.8414,2.3,threshold_not_reached,Background peak does not exceed eta.
0.038,3.8,28.994,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0382,3.82,29.1466,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0384,3.84,29.2992,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0386,3.86,29.4518,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0388,3.88,29.6044,2.3,threshold_not_reached,Background peak does not exceed eta.
0.039,3.9,29.757,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0392,3.92,29.9096,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0394,3.94,30.0622,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0396,3.96,30.2148,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0398,3.98,30.3674,2.3,threshold_not_reached,Background peak does not exceed eta.
0.04,4,30.52,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0402,4.02,30.6726,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0404,4.04,30.8252,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0406,4.06,30.9778,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0408,4.08,31.1304,2.3,threshold_not_reached,Background peak does not exceed eta.
0.041,4.1,31.283,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0412,4.12,31.4356,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0414,4.14,31.5882,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0416,4.16,31.7408,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0418,4.18,31.8934,2.3,threshold_not_reached,Background peak does not exceed eta.
0.042,4.2,32.046,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0422,4.22,32.1986,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0424,4.24,32.3512,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0426,4.26,32.5038,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0428,4.28,32.6564,2.3,threshold_not_reached,Background peak does not exceed eta.
0.043,4.3,32.809,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0432,4.32,32.9616,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0434,4.34,33.1142,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0436,4.36,33.2668,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0438,4.38,33.4194,2.3,threshold_not_reached,Background peak does not exceed eta.
0.044,4.4,33.572,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0442,4.42,33.7246,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0444,4.44,33.8772,2.3,threshold_not_reached,Background peak does not exceed eta.
