method,label,t,community_new_obs,quarantine_new_obs,community_cum_obs,quarantine_cum_obs,community_new_pred,quarantine_new_pred,community_cum_pred,quarantine_cum_pred,I_pred,Iq_pred
sqrt_daily,daily sqrt residual,34.0,2.0,4.0,580.0,1451.0,0.8144328315787561,10.198438384928068,576.6820347441054,1394.4213563316475,15.418821996973087,62.354853050589995
sqrt_daily,daily sqrt residual,35.0,1.0,7.0,581.0,1458.0,0.5527797971509472,7.799108715058537,577.2348145412564,1402.220465046706,11.950435734974223,50.32355808976558
sqrt_daily,daily sqrt residual,36.0,2.0,2.0,583.0,1460.0,0.37427114155377694,5.939963873850047,577.6090856828101,1408.1604289205561,9.215779373590776,40.317003335867454
sqrt_daily,daily sqrt residual,37.0,0.0,1.0,583.0,1461.0,0.25313184658398313,4.509221766549672,577.8622175293941,1412.6696506871058,7.076461940618886,32.09125732398104
sqrt_daily,daily sqrt residual,38.0,0.0,5.0,583.0,1466.0,0.17123071623905162,3.4141970267969555,578.0334482456332,1416.0838477139027,5.41391614342722,25.397325928216265
sqrt_daily,daily sqrt residual,39.0,0.0,1.0,583.0,1467.0,0.11598422752717852,2.579766728481218,578.1494324731603,1418.663614442384,4.129099846749336,19.99740907438666
daily_mse,daily MSE,0.0,1.0,0.0,1.0,0.0,0.0022477781272210113,0.0010751693924583856,0.0022477781272210113,0.0010751693924583856,0.0027361880246408454,0.0009326206448612019
daily_mse,daily MSE,1.0,0.0,0.0,1.0,0.0,0.006102226164254526,0.0029580913197959466,0.008350004291475538,0.004033260712254332,0.0074468651295103785,0.003220126851350086
daily_mse,daily MSE,2.0,0.0,0.0,1.0,0.0,0.016195349824168877,0.008050512087405814,0.024545354115644416,0.012083772799660147,0.01989413776785117,0.009240680637722471
daily_mse,daily MSE,3.0,1.0,0.0,2.0,0.0,0.04169775053958551,0.021496745033737035,0.06624310465522992,0.03358051783339718,0.051728904367012926,0.02511437423472884
daily_mse,daily MSE,4.0,1.0,0.0,3.0,0.0,0.10330368095786008,0.05581466961296499,0.16954678561309,0.08939518744636217,0.12988305436842898,0.06595239576006962
daily_mse,daily MSE,5.0,0.0,0.0,3.0,0.0,0.24440910540774036,0.13971429212629827,0.41395589102083036,0.22910947957266042,0.31262421754671094,0.16712424822961702
daily_mse,daily MSE,6.0,1.0,3.0,4.0,3.0,0.5485954090100849,0.33460816491798023,0.9625513000309152,0.5637176444906407,0.7167751094007433,0.40631378700419923
daily_mse,daily MSE,7.0,2.0,2.0,6.0,5.0,1.1616275806433904,0.761607516359742,2.1241788806743056,1.3253251608503827,1.5570620880088064,0.9420367128383406
daily_mse,daily MSE,8.0,3.0,4.0,9.0,9.0,2.3097479370601572,1.6383102550781712,4.433926817734463,2.963635415928554,3.19101454839243,2.071869490516036
daily_mse,daily MSE,9.0,5.0,5.0,14.0,14.0,4.297529435621161,3.3159428503706216,8.731456253355624,6.2795782662991755,6.149862759605163,4.304439808940403
daily_mse,daily MSE,10.0,8.0,13.0,22.0,27.0,7.4641106020100985,6.294444355705899,16.195566855365723,12.574022622005074,11.122552620638823,8.42178144790224
daily_mse,daily MSE,11.0,21.0,21.0,43.0,48.0,12.08524137399463,11.182868104775686,28.280808229360353,23.75689072678076,18.85788898614359,15.487996896237545
daily_mse,daily MSE,12.0,31.0,21.0,74.0,69.0,18.234970756901255,18.57754420711899,46.51577898626161,42.33443493389975,29.971480357574958,26.75050283629617
daily_mse,daily MSE,13.0,35.0,28.0,109.0,97.0,25.656048281065537,28.860848679770264,72.17182726732715,71.19528361367001,44.690744063928136,43.399560504349914
daily_mse,daily MSE,14.0,22.0,27.0,131.0,124.0,33.708467453382525,41.97291117619969,105.88029472070967,113.1681947898697,62.622930121850075,66.20738839670999
daily_mse,daily MSE,15.0,24.0,51.0,155.0,175.0,41.44784363736893,57.2501636584896,147.3281383580786,170.4183584483593,82.65330658060992,95.1415718652045
daily_mse,daily MSE,16.0,59.0,96.0,214.0,271.0,47.82961425705176,73.42414980215494,195.15775261513036,243.84250825051424,103.04836702407871,129.09727329985301
