switch_s,total_cost
5.393144093379977910e-01,1.529637831978958307e+00
5.402710669753498784e-01,1.529610652340698707e+00
5.412277246127018548e-01,1.529586730503952108e+00
5.421843822500538312e-01,1.529566075679274162e+00
5.431410398874058076e-01,1.529548696963606957e+00
5.440976975247577840e-01,1.529534603341738741e+00
5.450543551621097604e-01,1.529523803687722339e+00
5.460110127994617368e-01,1.529516306766267597e+00
5.469676704368138243e-01,1.529512121234156918e+00
5.479243280741658007e-01,1.529511255641602174e+00
5.488809857115177770e-01,1.529513718433615166e+00
5.498376433488697534e-01,1.529519517951331897e+00
5.507943009862217298e-01,1.529528662433365049e+00
5.517509586235737062e-01,1.529541160017094503e+00
5.527076162609256826e-01,1.529557018739971852e+00
5.536642738982777701e-01,1.529576246540805595e+00
5.546209315356296354e-01,1.529598851261020798e+00
5.555775891729817229e-01,1.529624840645914752e+00
5.565342468103336993e-01,1.529654222345885994e+00
5.574909044476856756e-01,1.529687003917671095e+00
5.584475620850376520e-01,1.529723192825545031e+00
5.594042197223896284e-01,1.529762796442501127e+00
5.603608773597417159e-01,1.529805822051462982e+00
5.613175349970935812e-01,1.529852276846424886e+00
5.622741926344456687e-01,1.529902167933610890e+00
5.632308502717976451e-01,1.529955502332615902e+00
5.641875079091496215e-01,1.530012286977537439e+00
5.651441655465015979e-01,1.530072528718072977e+00
5.661008231838535742e-01,1.530136234320637278e+00
5.670574808212056617e-01,1.530203410469438641e+00
5.680141384585575270e-01,1.530274063767561366e+00
5.689707960959096145e-01,1.530348200738011588e+00
5.699274537332615909e-01,1.530425827824785312e+00
5.708841113706135673e-01,1.530506951393894255e+00
5.718407690079655437e-01,1.530591577734401243e+00
5.727974266453175201e-01,1.530679713059413860e+00
5.737540842826696075e-01,1.530771363507108962e+00
5.747107419200214729e-01,1.530866535141710560e+00
5.756673995573735603e-01,1.530965233954462823e+00
5.766240571947254256e-01,1.531067465864614174e+00
5.775807148320775131e-01,1.531173236720344111e+00
5.785373724694294895e-01,1.531282552299747080e+00
5.794940301067814659e-01,1.531395418311723988e+00
5.804506877441335533e-01,1.531511840396936774e+00
5.814073453814854187e-01,1.531631824128706132e+00
5.823640030188375061e-01,1.531755375013907017e+00
5.833206606561893715e-01,1.531882498493879474e+00
5.842773182935414589e-01,1.532013199945286397e+00
5.852339759308934353e-01,1.532147484680996152e+00
5.861906335682454117e-01,1.532285357950948113e+00
5.871472912055973881e-01,1.532426824942978660e+00
5.881039488429493645e-01,1.532571890783694712e+00
5.890606064803014519e-01,1.532720560539277521e+00
5.900172641176533173e-01,1.532872839216318894e+00
5.909739217550054047e-01,1.533028731762620112e+00
5.919305793923573811e-01,1.533188243068004608e+00
5.928872370297093575e-01,1.533351377965110007e+00
5.938438946670613339e-01,1.533518141230163057e+00
5.948005523044133103e-01,1.533688537583762557e+00
5.957572099417653977e-01,1.533862571691645194e+00
5.967138675791172631e-01,1.534040248165435827e+00
5.976705252164693505e-01,1.534221571563395781e+00
5.986271828538213269e-01,1.534406546391174686e+00
5.995838404911733033e-01,1.534595177102524577e+00
6.005404981285252797e-01,1.534787468100035746e+00
6.014971557658772561e-01,1.534983423735840846e+00
6.024538134032293435e-01,1.535183048312327436e+00
6.034104710405812089e-01,1.535386346082835640e+00
6.043671286779332963e-01,1.535593321252342047e+00
6.053237863152852727e-01,1.535803977978155821e+00
6.062804439526372491e-01,1.536018320370572177e+00
6.072371015899892255e-01,1.536236352493554280e+00
6.081937592273412019e-01,1.536458078365393831e+00
6.091504168646932893e-01,1.536683501959343223e+00
6.101070745020451547e-01,1.536912627204288562e+00
6.110637321393972421e-01,1.537145457985358732e+00
6.120203897767492185e-01,1.537381998144571327e+00
6.129770474141011949e-01,1.537622251481451041e+00
6.139337050514531713e-01,1.537866221753639628e+00
6.148903626888051477e-01,1.538113912677511852e+00
6.158470203261572351e-01,1.538365327928770565e+00
6.168036779635091005e-01,1.538620471143043789e+00
6.177603356008611879e-01,1.538879345916475794e+00
6.187169932382130533e-01,1.539141955806294870e+00
6.196736508755651407e-01,1.539408304331411070e+00
6.206303085129171171e-01,1.539678394972960884e+00
6.215869661502690935e-01,1.539952231174873898e+00
6.225436237876210699e-01,1.540229816344447222e+00
6.235002814249730463e-01,1.540511153852866855e+00
6.244569390623251337e-01,1.540796247035764566e+00
6.254135966996769991e-01,1.541085099193751029e+00
6.263702543370290865e-01,1.541377713592966270e+00
6.273269119743810629e-01,1.541674093465559725e+00
6.282835696117330393e-01,1.541974242010248464e+00
6.292402272490850157e-01,1.542278162392821894e+00
6.301968848864369921e-01,1.542585857746640254e+00
6.311535425237890795e-01,1.542897331173134434e+00
6.321102001611409449e-01,1.543212585742314236e+00
6.330668577984930323e-01,1.543531624493247989e+00
6.340235154358450087e-01,1.543854450434559933e+00
6.349801730731969851e-01,1.544181066544892511e+00
6.359368307105489615e-01,1.544511475773395981e+00
6.368934883479009379e-01,1.544845681040177165e+00
6.378501459852530253e-01,1.545183685236801496e+00
6.388068036226048907e-01,1.545525491226708681e+00
6.397634612599569781e-01,1.545871101845683215e+00
6.407201188973089545e-01,1.546220519902317347e+00
6.416767765346609309e-01,1.546573748178432739e+00
6.426334341720129073e-01,1.546930789429528552e+00
6.435900918093648837e-01,1.547291646385222208e+00
