p,K,regime_code,regime
0.8055555555555556,0.11538461538461538,2,capacity-q1
0.8277777777777778,0.11538461538461538,2,capacity-q1
0.85,0.11538461538461538,2,capacity-q1
0.25,0.1246153846153846,0,safe
0.2722222222222222,0.1246153846153846,1,direct-q1
0.29444444444444445,0.1246153846153846,1,direct-q1
0.31666666666666665,0.1246153846153846,1,direct-q1
0.3388888888888889,0.1246153846153846,2,capacity-q1
0.3611111111111111,0.1246153846153846,2,capacity-q1
0.3833333333333333,0.1246153846153846,2,capacity-q1
0.40555555555555556,0.1246153846153846,2,capacity-q1
0.4277777777777778,0.1246153846153846,2,capacity-q1
0.45,0.1246153846153846,2,capacity-q1
0.4722222222222222,0.1246153846153846,2,capacity-q1
0.49444444444444446,0.1246153846153846,2,capacity-q1
0.5166666666666666,0.1246153846153846,2,capacity-q1
0.538888888888889,0.1246153846153846,2,capacity-q1
0.5611111111111111,0.1246153846153846,2,capacity-q1
0.5833333333333334,0.1246153846153846,2,capacity-q1
0.6055555555555556,0.1246153846153846,2,capacity-q1
0.6277777777777778,0.1246153846153846,2,capacity-q1
0.65,0.1246153846153846,2,capacity-q1
0.6722222222222223,0.1246153846153846,2,capacity-q1
0.6944444444444444,0.1246153846153846,2,capacity-q1
0.7166666666666667,0.1246153846153846,2,capacity-q1
0.7388888888888889,0.1246153846153846,2,capacity-q1
0.7611111111111112,0.1246153846153846,2,capacity-q1
0.7833333333333333,0.1246153846153846,2,capacity-q1
0.8055555555555556,0.1246153846153846,2,capacity-q1
0.8277777777777778,0.1246153846153846,2,capacity-q1
0.85,0.1246153846153846,2,capacity-q1
0.25,0.13384615384615384,0,safe
0.2722222222222222,0.13384615384615384,0,safe
0.29444444444444445,0.13384615384615384,1,direct-q1
0.31666666666666665,0.13384615384615384,1,direct-q1
0.3388888888888889,0.13384615384615384,2,capacity-q1
0.3611111111111111,0.13384615384615384,2,capacity-q1
0.3833333333333333,0.13384615384615384,2,capacity-q1
0.40555555555555556,0.13384615384615384,2,capacity-q1
0.4277777777777778,0.13384615384615384,2,capacity-q1
0.45,0.13384615384615384,2,capacity-q1
0.4722222222222222,0.13384615384615384,2,capacity-q1
0.49444444444444446,0.13384615384615384,2,capacity-q1
0.5166666666666666,0.13384615384615384,2,capacity-q1
0.538888888888889,0.13384615384615384,2,capacity-q1
0.5611111111111111,0.13384615384615384,2,capacity-q1
0.5833333333333334,0.13384615384615384,2,capacity-q1
0.6055555555555556,0.13384615384615384,2,capacity-q1
0.6277777777777778,0.13384615384615384,2,capacity-q1
0.65,0.13384615384615384,2,capacity-q1
0.6722222222222223,0.13384615384615384,2,capacity-q1
0.6944444444444444,0.13384615384615384,2,capacity-q1
0.7166666666666667,0.13384615384615384,2,capacity-q1
0.7388888888888889,0.13384615384615384,2,capacity-q1
0.7611111111111112,0.13384615384615384,2,capacity-q1
0.7833333333333333,0.13384615384615384,2,capacity-q1
0.8055555555555556,0.13384615384615384,2,capacity-q1
0.8277777777777778,0.13384615384615384,2,capacity-q1
0.85,0.13384615384615384,2,capacity-q1
0.25,0.14307692307692307,0,safe
0.2722222222222222,0.14307692307692307,0,safe
0.29444444444444445,0.14307692307692307,1,direct-q1
0.31666666666666665,0.14307692307692307,1,direct-q1
0.3388888888888889,0.14307692307692307,1,direct-q1
0.3611111111111111,0.14307692307692307,2,capacity-q1
0.3833333333333333,0.14307692307692307,2,capacity-q1
0.40555555555555556,0.14307692307692307,2,capacity-q1
0.4277777777777778,0.14307692307692307,2,capacity-q1
0.45,0.14307692307692307,2,capacity-q1
0.4722222222222222,0.14307692307692307,2,capacity-q1
0.49444444444444446,0.14307692307692307,2,capacity-q1
0.5166666666666666,0.14307692307692307,2,capacity-q1
0.538888888888889,0.14307692307692307,2,capacity-q1
0.5611111111111111,0.14307692307692307,2,capacity-q1
0.5833333333333334,0.14307692307692307,2,capacity-q1
0.6055555555555556,0.14307692307692307,2,capacity-q1
0.6277777777777778,0.14307692307692307,2,capacity-q1
0.65,0.14307692307692307,2,capacity-q1
0.6722222222222223,0.14307692307692307,2,capacity-q1
0.6944444444444444,0.14307692307692307,2,capacity-q1
0.7166666666666667,0.14307692307692307,2,capacity-q1
0.7388888888888889,0.14307692307692307,2,capacity-q1
0.7611111111111112,0.14307692307692307,2,capacity-q1
0.7833333333333333,0.14307692307692307,2,capacity-q1
0.8055555555555556,0.14307692307692307,2,capacity-q1
0.8277777777777778,0.14307692307692307,2,capacity-q1
0.85,0.14307692307692307,2,capacity-q1
0.25,0.1523076923076923,0,safe
0.2722222222222222,0.1523076923076923,0,safe
0.29444444444444445,0.1523076923076923,0,safe
0.31666666666666665,0.1523076923076923,1,direct-q1
0.3388888888888889,0.1523076923076923,1,direct-q1
0.3611111111111111,0.1523076923076923,1,direct-q1
0.3833333333333333,0.1523076923076923,2,capacity-q1
0.40555555555555556,0.1523076923076923,2,capacity-q1
0.4277777777777778,0.1523076923076923,2,capacity-q1
0.45,0.1523076923076923,2,capacity-q1
0.4722222222222222,0.1523076923076923,2,capacity-q1
0.49444444444444446,0.1523076923076923,2,capacity-q1
0.5166666666666666,0.1523076923076923,2,capacity-q1
0.538888888888889,0.1523076923076923,2,capacity-q1
0.5611111111111111,0.1523076923076923,2,capacity-q1
0.5833333333333334,0.1523076923076923,2,capacity-q1
0.6055555555555556,0.1523076923076923,2,capacity-q1
0.6277777777777778,0.1523076923076923,2,capacity-q1
0.65,0.1523076923076923,2,capacity-q1
0.6722222222222223,0.1523076923076923,2,capacity-q1
0.6944444444444444,0.1523076923076923,2,capacity-q1
0.7166666666666667,0.1523076923076923,2,capacity-q1
0.7388888888888889,0.1523076923076923,2,capacity-q1
0.7611111111111112,0.1523076923076923,2,capacity-q1
0.7833333333333333,0.1523076923076923,2,capacity-q1
0.8055555555555556,0.1523076923076923,2,capacity-q1
0.8277777777777778,0.1523076923076923,2,capacity-q1
0.85,0.1523076923076923,2,capacity-q1
0.25,0.16153846153846152,0,safe
0.2722222222222222,0.16153846153846152,0,safe
0.29444444444444445,0.16153846153846152,0,safe
0.31666666666666665,0.16153846153846152,1,direct-q1
0.3388888888888889,0.16153846153846152,1,direct-q1
0.3611111111111111,0.16153846153846152,1,direct-q1
0.3833333333333333,0.16153846153846152,2,capacity-q1
0.40555555555555556,0.16153846153846152,2,capacity-q1
0.4277777777777778,0.16153846153846152,2,capacity-q1
0.45,0.16153846153846152,2,capacity-q1
0.4722222222222222,0.16153846153846152,2,capacity-q1
0.49444444444444446,0.16153846153846152,2,capacity-q1
0.5166666666666666,0.16153846153846152,2,capacity-q1
0.538888888888889,0.16153846153846152,2,capacity-q1
0.5611111111111111,0.16153846153846152,2,capacity-q1
0.5833333333333334,0.16153846153846152,2,capacity-q1
0.6055555555555556,0.16153846153846152,2,capacity-q1
0.6277777777777778,0.16153846153846152,2,capacity-q1
0.65,0.16153846153846152,2,capacity-q1
0.6722222222222223,0.16153846153846152,2,capacity-q1
0.6944444444444444,0.16153846153846152,2,capacity-q1
0.7166666666666667,0.16153846153846152,2,capacity-q1
0.7388888888888889,0.16153846153846152,2,capacity-q1
0.7611111111111112,0.16153846153846152,2,capacity-q1
0.7833333333333333,0.16153846153846152,2,capacity-q1
0.8055555555555556,0.16153846153846152,2,capacity-q1
0.8277777777777778,0.16153846153846152,2,capacity-q1
0.85,0.16153846153846152,2,capacity-q1
0.25,0.17076923076923076,0,safe
0.2722222222222222,0.17076923076923076,0,safe
0.29444444444444445,0.17076923076923076,0,safe
0.31666666666666665,0.17076923076923076,1,direct-q1
0.3388888888888889,0.17076923076923076,1,direct-q1
0.3611111111111111,0.17076923076923076,1,direct-q1
0.3833333333333333,0.17076923076923076,1,direct-q1
0.40555555555555556,0.17076923076923076,2,capacity-q1
0.4277777777777778,0.17076923076923076,2,capacity-q1
0.45,0.17076923076923076,2,capacity-q1
0.4722222222222222,0.17076923076923076,2,capacity-q1
0.49444444444444446,0.17076923076923076,2,capacity-q1
0.5166666666666666,0.17076923076923076,2,capacity-q1
0.538888888888889,0.17076923076923076,2,capacity-q1
0.5611111111111111,0.17076923076923076,2,capacity-q1
0.5833333333333334,0.17076923076923076,2,capacity-q1
0.6055555555555556,0.17076923076923076,2,capacity-q1
0.6277777777777778,0.17076923076923076,2,capacity-q1
