time,s,i,q,beta1,beta2
8.399999999999999689e-01,9.788134863964135235e-01,1.777736365725355802e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.499999999999999778e-01,9.786389028546879088e-01,1.789843370057601565e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.599999999999999867e-01,9.784631619501711342e-01,1.802029670834277147e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.699999999999999956e-01,9.782862565367753671e-01,1.814295744057185453e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.800000000000000044e-01,9.781081794314390176e-01,1.826642067993924923e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.900000000000000133e-01,9.779289234143044851e-01,1.839069123159526795e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000222e-01,9.777484812285903715e-01,1.851577392322138055e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.100000000000000311e-01,9.775668455801583834e-01,1.864167360525128755e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.200000000000000400e-01,9.773840091374921268e-01,1.876839515087959376e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.300000000000000488e-01,9.771999645317174243e-01,1.889594345601147349e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.400000000000000577e-01,9.770147043568497836e-01,1.902432343904340156e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.500000000000000666e-01,9.768282211693777306e-01,1.915354004108966654e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.599999999999999645e-01,9.766405074880318837e-01,1.928359822608799110e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.699999999999999734e-01,9.764515557937820667e-01,1.941450298079801587e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.799999999999999822e-01,9.762613585299602104e-01,1.954625931465225896e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.899999999999999911e-01,9.760699081023747059e-01,1.967887225964843473e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,9.758771968788040319e-01,1.981234687060593261e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.010000000000000009e+00,9.756832171889233685e-01,1.994668822519489113e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.020000000000000018e+00,9.754879613243113701e-01,2.008190142391319544e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.030000000000000027e+00,9.752914215387077368e-01,2.021799158983749248e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.040000000000000036e+00,9.750935900478269192e-01,2.035496386871095062e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.050000000000000044e+00,9.748944590289838619e-01,2.049282342911353666e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.060000000000000053e+00,9.746940206210831237e-01,2.063157546246497526e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
