time,c,q_eps_0p10,q_eps_0p04,q_eps_0p015
7.500000000000000000e+00,2.367113758540793977e+00,0.000000000000000000e+00,2.220446049250215952e-16,0.000000000000000000e+00
7.875000000000000000e+00,2.234057986014847508e+00,1.110223024627786405e-16,2.775557561562534391e-16,0.000000000000000000e+00
8.250000000000000000e+00,2.138145228697306166e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.220446049255494911e-16
8.625000000000000000e+00,2.075481051054470338e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,2.038179445054139283e+00,1.054711873394175012e-15,0.000000000000000000e+00,0.000000000000000000e+00
9.375000000000000000e+00,2.017877669627816228e+00,1.798109825838143784e-28,4.996003610812672937e-16,0.000000000000000000e+00
9.750000000000000000e+00,2.007749645322212118e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.012500000000000000e+01,2.003109870961405026e+00,1.665334536940947447e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.050000000000000000e+01,2.001155294045443789e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.848892746611746419e-28
1.087500000000000000e+01,2.000397312587163245e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.125000000000000000e+01,2.000126491614695023e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.162500000000000000e+01,2.000037280417919838e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,2.000010171603703757e+00,1.545249843704511805e-29,0.000000000000000000e+00,3.885780586188124805e-16
1.237500000000000000e+01,2.000002569139661457e+00,0.000000000000000000e+00,4.996003610812969746e-16,0.000000000000000000e+00
1.275000000000000000e+01,2.000000600724880062e+00,1.665334536938120366e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.312500000000000000e+01,2.000000130032870249e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.551115123125722305e-17
1.350000000000000000e+01,2.000000026056753200e+00,2.220446049251021577e-16,0.000000000000000000e+00,7.216449660063489903e-16
1.387500000000000000e+01,2.000000004833670797e+00,4.440892098501165545e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.425000000000000000e+01,2.000000000830086666e+00,1.665334536938033345e-16,0.000000000000000000e+00,2.775557561562821340e-16
1.462500000000000000e+01,2.000000000131965106e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,2.000000000019421798e+00,0.000000000000000000e+00,2.220446049250308644e-16,0.000000000000000000e+00
1.537500000000000000e+01,2.000000000002645884e+00,0.000000000000000000e+00,5.551115123125659443e-17,0.000000000000000000e+00
1.575000000000000000e+01,2.000000000000333955e+00,0.000000000000000000e+00,1.110223024625153705e-16,0.000000000000000000e+00
1.612500000000000000e+01,2.000000000000039080e+00,0.000000000000000000e+00,1.110223024625154568e-16,0.000000000000000000e+00
1.650000000000000000e+01,2.000000000000003997e+00,2.775557561562924385e-16,0.000000000000000000e+00,2.775557561562886421e-16
1.687500000000000000e+01,2.000000000000000444e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.725000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.665334536937724950e-16
1.762500000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.551115123125785167e-17,0.000000000000000000e+00
1.800000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.551115123125785167e-17,0.000000000000000000e+00
