switch_s,switch_i,terminal_s,terminal_i
6.325001342347652544e-01,1.808100613763845288e-01,4.377567800792555586e-01,1.256075153797258093e-01
6.279381900041037801e-01,1.792953942444466264e-01,4.384089449137543726e-01,1.254019543803265302e-01
6.234416655123818929e-01,1.777882188399456664e-01,4.390611097482532421e-01,1.251957295191303832e-01
6.190091911202194597e-01,1.762884310302176849e-01,4.397132745827521116e-01,1.249888427668255364e-01
6.146394338894189957e-01,1.747959285628331860e-01,4.403654394172509257e-01,1.247812960853382780e-01
6.103310963947464751e-01,1.733106110231429076e-01,4.410176042517497397e-01,1.245730914278841972e-01
6.060829155806138901e-01,1.718323797929803554e-01,4.416697690862486092e-01,1.243642307390206980e-01
6.018936616607057921e-01,1.703611380104751716e-01,4.423219339207474787e-01,1.241547159546972923e-01
5.977621370587357097e-01,1.688967905309513573e-01,4.429740987552462927e-01,1.239445490023067808e-01
5.936871753885624159e-01,1.674392438888694934e-01,4.436262635897451068e-01,1.237337318007354359e-01
5.896676404720082587e-01,1.659884062607836774e-01,4.442784284242439763e-01,1.235222662604128496e-01
5.857024253927908264e-01,1.645441874292820073e-01,4.449305932587428458e-01,1.233101542833620057e-01
5.817904515850520486e-01,1.631064987478774986e-01,4.455827580932416598e-01,1.230973977632480176e-01
5.779306679550400005e-01,1.616752531068220977e-01,4.462349229277404739e-01,1.228839985854272010e-01
5.741220500345709521e-01,1.602503648998142016e-01,4.468870877622393434e-01,1.226699586269958120e-01
5.703635991649695924e-01,1.588317499915755937e-01,4.475392525967382129e-01,1.224552797568380091e-01
5.666543417102194446e-01,1.574193256862665424e-01,4.481914174312370269e-01,1.222399638356737039e-01
5.629933282981348652e-01,1.560130106967149155e-01,4.488435822657358409e-01,1.220240127161061894e-01
5.593796330884354129e-01,1.546127251144395198e-01,4.494957471002347105e-01,1.218074282426691024e-01
5.558123530666051471e-01,1.532183903804364977e-01,4.501479119347335800e-01,1.215902122518732753e-01
5.522906073625298840e-01,1.518299292567130421e-01,4.508000767692323940e-01,1.213723665722532541e-01
5.488135365928904497e-01,1.504472657985385931e-01,4.514522416037312080e-01,1.211538930244133727e-01
5.453803022263999933e-01,1.490703253274009987e-01,4.521044064382300776e-01,1.209347934210736053e-01
5.419900859709437801e-01,1.476990344046372194e-01,4.527565712727289471e-01,1.207150695671149743e-01
5.386420891818026746e-01,1.463333208057300272e-01,4.534087361072277611e-01,1.204947232596245144e-01
5.353355322900824609e-01,1.449731134952390033e-01,4.540609009417265751e-01,1.202737562879405697e-01
5.320696542505992666e-01,1.436183426023552867e-01,4.547130657762254446e-01,1.200521704336967588e-01
5.288437120084672483e-01,1.422689393970650862e-01,4.553652306107243142e-01,1.198299674708661611e-01
5.256569799836158241e-01,1.409248362668893417e-01,4.560173954452231282e-01,1.196071491658058372e-01
5.225087495726286058e-01,1.395859666942048383e-01,4.566695602797219422e-01,1.193837172772995725e-01
5.193983286671257638e-01,1.382522652340990310e-01,4.573217251142208117e-01,1.191596735566012866e-01
5.163250411882721602e-01,1.369236674928041575e-01,4.579738899487196813e-01,1.189350197474785542e-01
5.132882266364472423e-01,1.356001101065900383e-01,4.586260547832184953e-01,1.187097575862544607e-01
5.102872396559302581e-01,1.342815307212290865e-01,4.592782196177173093e-01,1.184838888018501235e-01
5.073214496135256546e-01,1.329678679718659662e-01,4.599303844522161788e-01,1.182574151158269915e-01
5.043902401915889566e-01,1.316590614635698153e-01,4.605825492867150484e-01,1.180303382424281455e-01
5.014930089930839108e-01,1.303550517520088714e-01,4.612347141212138624e-01,1.178026598886202647e-01
4.986291671605334042e-01,1.290557803249256508e-01,4.618868789557126764e-01,1.175743817541341496e-01
4.957981390062344285e-01,1.277611895837626466e-01,4.625390437902115459e-01,1.173455055315058004e-01
4.929993616559468772e-01,1.264712228262224181e-01,4.631912086247104154e-01,1.171160329061171623e-01
4.902322847006450601e-01,1.251858242282464229e-01,4.638433734592092295e-01,1.168859655562362043e-01
4.874963698632053810e-01,1.239049388276031588e-01,4.644955382937080435e-01,1.166553051530567764e-01
4.847910906730761860e-01,1.226285125070947085e-01,4.651477031282069130e-01,1.164240533607386885e-01
4.821159321514149054e-01,1.213564919782298551e-01,4.657998679627057825e-01,1.161922118364466794e-01
4.794703905071885930e-01,1.200888247656268087e-01,4.664520327972045965e-01,1.159597822303897185e-01
4.768539728413933587e-01,1.188254591913653346e-01,4.671041976317034106e-01,1.157267661858603081e-01
4.742661968611467382e-01,1.175663443599213598e-01,4.677563624662022801e-01,1.154931653392723412e-01
4.717065906027470557e-01,1.163114301435008158e-01,4.684085273007011496e-01,1.152589813201999602e-01
4.691746921621149924e-01,1.150606671673556902e-01,4.690606921351999636e-01,1.150242157514155261e-01
